mean_test_score,param_estimator__n_estimators,param_estimator__learning_rate,param_estimator__estimator__max_depth,param_estimator__estimator__min_samples_split,param_estimator__estimator__min_samples_leaf,param_estimator__algorithm
0.8401800135035978,300,0.05119264101040908,8,20,10,SAMME
0.8404253792435152,300,0.06751691643700375,7,2,10,SAMME
0.8403287399393851,237,0.05213599994759419,7,20,1,SAMME
0.839742983249631,123,0.1353594253462054,7,20,1,SAMME
0.8406163137040494,300,0.03668786858899064,7,20,10,SAMME
0.8403043288306357,300,0.05848314479822824,7,20,10,SAMME
0.8360467968849086,298,0.01766527050912829,10,3,9,SAMME
0.8288241777116637,51,0.2936862374470164,10,6,3,SAMME
0.8395647691282436,194,0.046138907275234696,8,20,10,SAMME
0.8413148226296567,162,0.06982974562429808,7,2,1,SAMME
